Label,,,Naver,,,,,,
ID,gender,age,gender,acc,age_min,age_max,acc,gender_diff,age_diff
000001,female,45,female,0.999806,51,55,0.763184,TRUE,FALSE
000002,female,52,female,0.508885,50,54,0.987685,TRUE,TRUE
000004,male,54,male,0.999874,43,47,0.110434,TRUE,FALSE
000005,female,58,male,0.999967,64,68,0.489103,FALSE,FALSE
000006,female,59,,,,,,FALSE,FALSE
000007,female,58,male,0.698803,65,69,0.645071,FALSE,FALSE
000008,female,58,male,0.999971,72,76,0.288556,FALSE,FALSE
000009,female,56,male,0.999783,68,72,0.308341,FALSE,FALSE
000010,female,58,male,0.999985,66,70,0.315771,FALSE,FALSE
000012,male,57,male,0.999999,68,72,0.503534,TRUE,FALSE
000014,female,58,female,0.999584,53,57,0.144367,TRUE,FALSE
000015,male,55,male,1,54,58,0.518739,TRUE,TRUE
000016,female,58,male,0.999382,69,73,0.458813,FALSE,FALSE
000018,female,59,female,0.978827,65,69,0.737825,TRUE,FALSE
000019,female,57,female,0.979236,71,75,0.355527,TRUE,FALSE
000020,female,50,female,0.999639,66,70,0.868594,TRUE,FALSE
000021,female,54,female,0.997006,65,69,0.815781,TRUE,FALSE
000022,female,58,female,0.997773,78,82,0.64404,TRUE,FALSE
000023,female,55,male,0.995752,52,56,0.888096,FALSE,TRUE
000024,female,58,male,0.995227,56,60,0.42292,FALSE,TRUE
000025,female,49,male,0.998686,64,68,0.405667,FALSE,FALSE
000026,female,56,female,0.997967,67,71,1,TRUE,FALSE
000028,female,58,female,0.999843,60,64,0.517847,TRUE,FALSE
000029,female,58,female,0.593123,74,78,0.150468,TRUE,FALSE
000030,female,55,male,0.803665,64,68,0.726654,FALSE,FALSE
000031,female,54,female,0.999703,69,73,0.618391,TRUE,FALSE
000033,male,57,male,0.999999,65,69,0.397065,TRUE,FALSE
000034,female,55,female,0.999823,69,73,0.319009,TRUE,FALSE
000036,female,58,male,0.996103,67,71,0.525489,FALSE,FALSE
000037,female,58,male,0.997978,80,84,0.720672,FALSE,FALSE
000038,female,58,male,0.999285,64,68,0.489605,FALSE,FALSE
000039,female,57,male,0.999751,81,85,0.206002,FALSE,FALSE
000040,female,57,male,0.999761,57,61,0.257782,FALSE,TRUE
000041,female,58,female,0.543088,57,61,0.464575,TRUE,TRUE
000043,male,56,male,0.999973,78,82,0.829773,TRUE,FALSE
000044,female,58,female,0.963874,65,69,0.327464,TRUE,FALSE
000045,female,56,male,0.804798,66,70,0.445588,FALSE,FALSE
000046,male,55,male,0.971106,78,82,0.331068,TRUE,FALSE
000047,male,58,male,0.997317,74,78,0.114852,TRUE,FALSE
000048,female,57,female,0.997985,55,59,0.585524,TRUE,TRUE
000062,female,55,female,0.996073,54,58,0.88987,TRUE,TRUE
000064,male,59,male,0.999755,83,87,0.466026,TRUE,FALSE
000066,female,53,female,0.999082,44,48,0.486241,TRUE,FALSE
000067,female,54,female,0.942233,62,66,0.62539,TRUE,FALSE
000069,female,54,male,0.998561,52,56,0.368186,FALSE,TRUE
000070,female,58,male,0.985227,69,73,0.241322,FALSE,FALSE
