ID,gender,age,naver_gender,naver_acc,naver_age_min,age_max,acc,gender_diff,age_diff
000001,female,45,female,0.999806,51,55,0.763184,true,true
000002,female,52,female,0.508885,50,54,0.987685,true,true
000004,male,54,male,0.999874,43,47,0.110434,true,true
000005,female,58,male,0.999967,64,68,0.489103,false,false
000006,female,59,,,,,,false,false
000007,female,58,male,0.698803,65,69,0.645071,false,false
000008,female,58,male,0.999971,72,76,0.288556,false,false
000009,female,56,male,0.999783,68,72,0.308341,false,false
000010,female,58,male,0.999985,66,70,0.315771,false,false
000012,male,57,male,0.999999,68,72,0.503534,true,false
000014,female,58,female,0.999584,53,57,0.144367,true,true
000015,male,55,male,1,54,58,0.518739,true,true
000016,female,58,male,0.999382,69,73,0.458813,false,false
000018,female,59,female,0.978827,65,69,0.737825,true,false
000019,female,57,female,0.979236,71,75,0.355527,true,false
000020,female,50,female,0.999639,66,70,0.868594,true,false
000021,female,54,female,0.997006,65,69,0.815781,true,false
000022,female,58,female,0.997773,78,82,0.64404,true,false
000023,female,55,male,0.995752,52,56,0.888096,false,true
000024,female,58,male,0.995227,56,60,0.42292,false,true
000025,female,49,male,0.998686,64,68,0.405667,false,false
000026,female,56,female,0.997967,67,71,1,true,false
000028,female,58,female,0.999843,60,64,0.517847,true,false
000029,female,58,female,0.593123,74,78,0.150468,true,false
000030,female,55,male,0.803665,64,68,0.726654,false,false
000031,female,54,female,0.999703,69,73,0.618391,true,false
000033,male,57,male,0.999999,65,69,0.397065,true,false
000034,female,55,female,0.999823,69,73,0.319009,true,false
000036,female,58,male,0.996103,67,71,0.525489,false,false
000037,female,58,male,0.997978,80,84,0.720672,false,false
000038,female,58,male,0.999285,64,68,0.489605,false,false
000039,female,57,male,0.999751,81,85,0.206002,false,false
000040,female,57,male,0.999761,57,61,0.257782,false,true
000041,female,58,female,0.543088,57,61,0.464575,true,true
000043,male,56,male,0.999973,78,82,0.829773,true,false
000044,female,58,female,0.963874,65,69,0.327464,true,false
000045,female,56,male,0.804798,66,70,0.445588,false,false
000046,male,55,male,0.971106,78,82,0.331068,true,false
000047,male,58,male,0.997317,74,78,0.114852,true,false
000048,female,57,female,0.997985,55,59,0.585524,true,true
000062,female,55,female,0.996073,54,58,0.88987,true,true
000064,male,59,male,0.999755,83,87,0.466026,true,false
000066,female,53,female,0.999082,44,48,0.486241,true,true
000067,female,54,female,0.942233,62,66,0.62539,true,false
000069,female,54,male,0.998561,52,56,0.368186,false,true
000070,female,58,male,0.985227,69,73,0.241322,false,false
000071,female,56,female,0.999699,73,77,0.695182,true,false
000073,female,52,female,0.99981,69,73,0.442731,true,false
000075,female,56,male,0.810914,62,66,0.209334,false,false
000077,male,59,male,0.999995,64,68,0.62481,true,false
000078,female,55,male,0.997673,59,63,0.103604,false,true
000079,female,57,male,0.528027,68,72,0.615386,false,false
000080,female,57,female,0.998493,65,69,0.577639,true,false
000206,female,57,male,0.99996,75,79,0.0513603,false,false
000207,female,56,male,0.995057,73,77,0.0854086,false,false
000209,female,56,female,0.970794,77,81,0.0300706,true,false
000210,female,54,male,0.999486,64,68,0.797089,false,false
000212,female,51,male,0.999958,71,75,0.861208,false,false
000214,female,51,male,0.999986,66,70,1,false,false
000215,female,59,male,0.55741,86,90,0.534298,false,false
000216,female,56,male,0.999896,75,79,0.252285,false,false
000217,female,54,female,0.688614,75,79,0.330607,true,false
000218,female,59,female,0.999783,72,76,0.234001,true,false
000219,female,53,male,0.830474,67,71,1,false,false
000221,female,40,male,0.996692,67,71,1,false,false
000224,female,56,female,0.997386,89,93,0.737656,true,false
000225,female,25,female,0.762047,36,40,0.146505,true,false
000226,female,58,male,0.999998,62,66,0.167018,false,false
000227,female,59,male,0.999846,62,66,0.583376,false,false
000228,female,56,male,0.999223,82,86,0.306324,false,false
000229,male,56,male,0.999839,90,94,0.714903,true,false
000231,male,56,male,0.999977,76,80,0.213418,true,false
000232,male,53,male,0.999999,70,74,0.44142,true,false
000235,male,57,male,0.999998,67,71,0.527867,true,false
000236,male,51,male,1,63,67,0.683891,true,false
000237,male,56,male,0.999989,86,90,0.379335,true,false
000238,male,57,male,0.99999,76,80,0.504564,true,false
000240,male,57,male,0.999995,85,89,0.464823,true,false
000241,male,56,male,0.999995,75,79,0.302442,true,false
000242,male,56,male,0.999999,82,86,0.910083,true,false
000243,female,58,male,0.999865,81,85,0.584726,false,false
000244,female,56,child,0.99477,86,90,0.314478,false,false
000245,male,58,male,1,66,70,0.824046,true,false
000248,female,54,female,0.991259,66,70,0.53155,true,false
000249,male,53,male,0.999996,71,75,0.737127,true,false
000255,female,59,female,0.999406,74,78,0.16605,true,false
000256,female,58,female,0.730388,73,77,0.102811,true,false
000260,female,58,female,0.999431,69,73,1,true,false
000261,female,58,male,0.99995,82,86,0.235457,false,false
000262,male,56,male,1,60,64,1,true,false
000263,female,48,male,0.761179,54,58,1,false,true
000264,female,51,male,0.994392,72,76,0.558363,false,false
000265,female,58,male,0.998299,80,84,0.299313,false,false
000266,female,58,female,0.661859,51,55,1,true,true
000267,male,58,male,0.999999,73,77,0.341823,true,false
000268,male,59,male,0.999991,86,90,0.365535,true,false
000269,male,56,male,0.999999,84,88,0.369022,true,false
000270,female,49,male,0.998006,70,74,0.390297,false,false
000272,female,52,male,0.992022,78,82,0.621656,false,false
000273,female,56,male,0.999874,79,83,0.304034,false,false
000274,female,54,male,0.549002,66,70,0.456001,false,false
000275,female,54,female,0.990105,66,70,0.409646,true,false
000276,female,58,male,0.999587,69,73,1,false,false
000277,female,54,male,0.999353,92,96,0.652288,false,false
000278,female,54,male,0.854889,79,83,0.688357,false,false
000279,female,54,male,0.999988,76,80,0.293687,false,false
000280,female,54,male,0.999992,75,79,0.163349,false,false
000282,female,59,male,0.999753,77,81,0.302737,false,false
000283,female,57,male,0.999864,78,82,0.289607,false,false
000285,female,54,female,0.990145,80,84,0.184014,true,false
000286,female,51,male,0.999969,74,78,0.465443,false,false
000288,female,51,male,0.997557,66,70,0.457666,false,false
000292,female,57,male,0.999138,57,61,0.4584,false,true
000293,female,57,male,0.998924,71,75,0.58227,false,false
000294,female,53,female,0.668905,65,69,0.710234,true,false
000295,female,56,male,0.999045,66,70,0.772377,false,false
000296,female,57,female,0.997378,54,58,0.951486,true,true
000297,female,53,female,0.51634,50,54,0.55808,true,true
000299,female,57,male,0.999992,80,84,0.38674,false,false
000301,female,55,female,0.996057,65,69,0.513469,true,false
000302,female,56,female,0.999885,73,77,0.298112,true,false
000304,female,51,female,0.999933,70,74,0.558096,true,false
000309,male,29,male,0.999997,28,32,0.539402,true,true
000311,female,58,male,0.999121,57,61,1,false,true
000312,female,57,male,0.980051,68,72,0.541189,false,false
000313,female,54,female,0.999591,73,77,1,true,false
000334,female,52,female,0.994098,68,72,0.519549,true,false
000336,female,56,female,0.999504,74,78,0.27231,true,false
000344,female,57,male,0.997842,77,81,0.201395,false,false
000348,male,58,male,0.999993,75,79,0.52779,true,false
000356,female,58,female,0.732656,75,79,0.736151,true,false
000357,female,55,male,0.999889,68,72,0.799117,false,false
000376,female,59,male,0.999929,72,76,0.628131,false,false
000378,female,55,male,0.997906,72,76,0.474307,false,false
000381,female,59,male,0.999971,87,91,0.294745,false,false
000498,female,56,female,0.997122,67,71,1,true,false
000499,female,58,female,0.996275,78,82,0.734854,true,false
000511,female,55,female,0.882119,56,60,0.847585,true,true
000512,female,55,female,0.999848,65,69,0.88758,true,false
000513,female,58,female,0.998833,81,85,0.409845,true,false
000514,female,59,male,0.999511,80,84,0.431291,false,false
000515,female,50,female,0.968818,73,77,0.0129291,true,false
000516,female,52,female,0.696185,77,81,0.212806,true,false
000517,female,58,female,0.762582,67,71,0.654197,true,false
000518,female,55,male,0.536217,83,87,0.483187,false,false
000519,female,56,female,0.999262,69,73,0.231012,true,false
000520,female,59,female,0.998987,77,81,0.569468,true,false
000522,female,51,female,0.995822,69,73,0.396897,true,false
000523,female,51,female,0.974298,56,60,0.519204,true,true
000525,female,53,male,0.632534,63,67,0.365887,false,false
000526,female,59,female,0.999351,55,59,0.509978,true,true
000527,female,58,male,0.781864,85,89,0.396419,false,false
000528,female,51,male,0.537409,79,83,0.235746,false,false
000529,female,51,male,0.699314,59,63,0.0592248,false,true
000531,female,56,female,0.999749,68,72,0.88581,true,false
000532,female,57,female,0.674499,82,86,0.467437,true,false
000533,female,54,male,0.83558,68,72,0.683314,false,false
000534,female,50,female,0.770462,76,80,0.316712,true,false
000535,female,50,male,0.99865,57,61,0.876533,false,true
000536,female,51,female,0.994968,69,73,0.204532,true,false
000538,male,54,male,0.986548,73,77,0.361113,true,false
000539,female,54,male,0.997106,84,88,0.539225,false,false
000541,female,35,female,0.999876,50,54,0.656855,true,true
000542,female,58,female,0.84936,79,83,0.402164,true,false
000543,male,35,male,1,40,44,0.406568,true,true
000545,female,58,female,0.9987,65,69,1,true,false
000546,female,52,female,0.964037,56,60,0.633487,true,true
000547,female,55,female,0.997045,68,72,0.264934,true,false
000548,female,53,female,0.711107,85,89,0.357597,true,false
000549,female,58,female,0.966099,84,88,0.420242,true,false
000550,male,56,male,0.999997,69,73,0.0430574,true,false
000552,female,56,female,0.999552,83,87,0.345392,true,false
000553,female,58,female,0.841205,63,67,0.720591,true,false
000554,female,54,female,0.999788,63,67,0.796621,true,false
000556,male,57,male,1,54,58,0.452906,true,true
000557,female,57,female,0.99973,62,66,0.577382,true,false
000558,female,58,female,0.999888,74,78,0.521856,true,false
000559,female,59,female,0.999892,71,75,0.526599,true,false
000560,female,55,female,0.659432,55,59,0.464322,true,true
000561,female,52,male,0.960354,72,76,0.466056,false,false
000562,female,58,male,0.510095,75,79,0.359804,false,false
000563,female,58,female,0.997874,82,86,0.484847,true,false
000564,female,57,male,0.998727,84,88,0.785553,false,false
000565,female,35,female,0.999918,53,57,0.301375,true,true
000566,male,58,male,0.999991,69,73,0.315875,true,false
000567,female,51,male,0.992368,79,83,0.447339,false,false
000568,female,54,male,0.903345,80,84,0.314397,false,false
